Team    Wins    Points  P% RW   ROW S/OW    GF  GA  GF/GP   GA/GP   PP% PK% NetPP%  NetPK%  Shots/GP    SA/GP   FOW%
Detroit Red Wings,54,115,0.701,47,49,5,252,179,3.07,2.18,20.7,84,18.9,85.4,34.4,23.5,53.3
San Jose Sharks,49,108,0.659,40,43,6,216,187,2.63,2.28,18.7,85.8,16.3,88.1,29.6,24.2,51.2
Montréal Canadiens,47,104,0.634,37,42,5,257,216,3.13,2.63,24.1,82.5,23.3,84.8,29.1,31.6,49
Pittsburgh Penguins,47,102,0.622,39,40,7,240,212,2.93,2.59,20.4,81,17.7,82.6,27.7,30.8,46.1
Anaheim Ducks,47,102,0.622,35,39,8,197,184,2.4,2.24,16.6,83.1,14.7,85.1,27.3,28,50.2
New Jersey Devils,46,99,0.604,31,38,8,198,193,2.41,2.35,15.6,82.8,13.4,84.7,28.8,27.5,50.4
Minnesota Wild,44,98,0.598,35,41,3,220,210,2.68,2.56,18.9,85.2,16,86.1,27,30.1,47.3
Dallas Stars,45,97,0.591,37,40,5,237,204,2.89,2.49,18.1,85.6,15.8,89.3,26.7,26.1,50.4
New York Rangers,42,97,0.591,30,34,8,205,190,2.5,2.32,16.5,84.6,14.9,85.7,31.5,25.9,52.3
Colorado Avalanche,44,95,0.579,33,37,7,224,216,2.73,2.63,14.6,81.4,13.1,82.1,28.6,27.3,47.8
Philadelphia Flyers,42,95,0.579,36,39,3,245,227,2.99,2.77,21.8,83.3,20.3,86.6,28.8,31.8,49.3
Ottawa Senators,43,94,0.573,37,40,3,258,242,3.15,2.95,18.3,81.1,16.5,85.8,30.1,30,51.7
Washington Capitals,43,94,0.573,32,39,4,238,227,2.9,2.77,18.8,80.5,16.5,82,31,27.5,51.2
Calgary Flames,42,94,0.573,36,39,3,226,224,2.76,2.73,16.8,81.5,14.5,83.8,28.2,28.5,49.5
Boston Bruins,41,94,0.573,32,35,6,206,215,2.51,2.62,17.6,78.6,15.7,81.3,28.5,30.5,49.1
Carolina Hurricanes,43,92,0.561,36,41,2,250,246,3.05,3,18.8,78.9,15.7,80,32.5,28.9,49.4
Nashville Predators,41,91,0.555,33,38,3,227,224,2.77,2.73,14.8,85.4,12,87.5,29.6,29.8,50.5
Buffalo Sabres,39,90,0.549,30,35,4,251,233,3.06,2.84,18,83.2,15.9,85.9,30.2,28.4,48.6
Edmonton Oilers,41,88,0.537,22,26,15,220,247,2.68,3.01,16.6,84.7,13.7,86.6,26.3,31.4,50.5
Chicago Blackhawks,40,88,0.537,31,35,5,234,231,2.85,2.82,15.9,82.1,14.3,86.5,28,28.6,52.3
Vancouver Canucks,39,88,0.537,29,33,6,207,206,2.52,2.51,17.1,82.6,15.2,84.8,27.5,28.9,48.7
Florida Panthers,38,85,0.518,29,33,5,211,220,2.57,2.68,19.2,82.4,18.2,83.4,31.1,33.6,48.8
Phoenix Coyotes,38,83,0.506,29,33,5,209,225,2.55,2.74,18.6,80.7,15,84,30.5,30.7,48.6
Toronto Maple Leafs,36,83,0.506,28,33,3,228,256,2.78,3.12,17.8,78.1,14.9,79.3,31,29.3,49.8
Columbus Blue Jackets,34,80,0.488,29,31,3,190,210,2.32,2.56,14.9,83.3,13.5,85.5,29,27.4,52.3
New York Islanders,35,79,0.482,25,30,5,189,240,2.3,2.93,14.6,81.9,10,84.5,29.7,30.3,51.1
St. Louis Blues,33,79,0.482,29,30,3,202,232,2.46,2.83,14.1,84.4,10.2,85.2,26.1,27.4,51.8
Atlanta Thrashers,34,76,0.463,19,25,9,207,266,2.52,3.24,16.5,78.8,13.3,82.5,25.8,33.9,51.8
Los Angeles Kings,32,71,0.433,25,27,5,226,263,2.76,3.21,17.4,78,16.4,81.6,28.6,32,47.8
Tampa Bay Lightning,31,71,0.433,27,29,2,221,266,2.7,3.24,19.3,82.1,16.9,84.3,28.7,28.2,49.7
