Team    Wins    Points  P% RW   ROW S/OW    GF  GA  GF/GP   GA/GP   PP% PK% NetPP%  NetPK%  Shots/GP    SA/GP   FOW%
Boston Bruins,54,117,0.713,47,51,3,258,171,3.15,2.09,21.7,83.7,19.1,87.1,31.9,29.1,51.6
Anaheim Ducks,54,116,0.707,44,51,3,263,203,3.21,2.48,16,82.2,13.1,85.9,31.3,28.7,49.2
Colorado Avalanche,52,112,0.683,37,47,5,245,216,2.99,2.63,19.8,80.7,19.4,81.9,29.5,32.7,49.5
St. Louis Blues,52,111,0.677,40,43,9,239,188,2.91,2.29,19.8,85.7,17.7,87.7,29.3,26.4,51.9
San Jose Sharks,51,111,0.677,37,41,10,239,193,2.91,2.35,17.2,84.9,15.1,88.6,34.8,27.8,52.8
Pittsburgh Penguins,51,109,0.665,40,44,7,242,204,2.95,2.49,23.4,85,21.2,86.6,29.9,28.8,51
Chicago Blackhawks,46,107,0.652,39,40,6,261,212,3.18,2.59,19.5,81.5,17.1,85.1,33.1,27.2,52
Tampa Bay Lightning,46,101,0.616,32,38,8,232,209,2.83,2.55,18.5,80.7,15.6,84.4,29.8,29.2,49.2
Montréal Canadiens,46,100,0.61,33,40,6,209,201,2.55,2.45,17.2,85.1,14.3,87.2,28.4,31,49.6
Los Angeles Kings,46,100,0.61,34,38,8,198,168,2.41,2.05,15.1,83.1,13,84.8,31.6,26.2,52.8
Minnesota Wild,43,98,0.598,32,35,8,199,198,2.43,2.41,17.9,78.8,14.7,80.4,26.6,27.7,50.9
New York Rangers,45,96,0.585,39,41,4,214,190,2.61,2.32,18.2,85.3,15.5,89.7,33.2,29.4,48.8
Philadelphia Flyers,42,94,0.573,35,39,3,233,227,2.84,2.77,19.7,84.8,16,87.3,30.4,30.6,50
Columbus Blue Jackets,43,93,0.567,35,38,5,226,214,2.76,2.61,19.3,82.1,16.4,85.4,29.6,30.8,51.6
Detroit Red Wings,39,93,0.567,30,34,5,217,221,2.65,2.7,17.7,83.1,16,84.1,30,29.3,50.8
Dallas Stars,40,91,0.555,34,36,4,231,223,2.82,2.72,15.9,81.4,14.1,84.4,31.7,30.4,50.1
Washington Capitals,38,90,0.549,24,28,10,225,229,2.74,2.79,23.4,82,19.9,83.8,29.4,33.5,48.4
Phoenix Coyotes,37,89,0.543,28,31,6,210,224,2.56,2.73,19.9,79,18.1,80.2,30.5,31,52
Nashville Predators,38,88,0.537,33,36,2,214,233,2.61,2.84,19.3,80.3,19.3,81.1,29,28.9,53.1
Ottawa Senators,37,88,0.537,27,30,7,229,258,2.79,3.15,18.5,80.9,14.8,82.5,32.8,34.7,51.2
New Jersey Devils,35,88,0.537,26,35,0,197,195,2.4,2.38,19.5,86.4,17.8,89.8,26.8,25.5,47
Toronto Maple Leafs,38,84,0.512,24,29,9,222,252,2.71,3.07,19.8,78.4,15.1,81,27.9,35.9,48.3
Winnipeg Jets,37,84,0.512,24,29,8,219,231,2.67,2.82,15.4,83.2,13.1,84.9,30.7,30.1,46.9
Carolina Hurricanes,36,83,0.506,30,34,2,205,226,2.5,2.76,14.6,81.7,11.7,86.3,31.2,30.9,52.6
Vancouver Canucks,36,83,0.506,25,31,5,191,216,2.33,2.63,15.2,83.2,13.6,85.4,30.8,28.4,51.4
New York Islanders,34,79,0.482,21,25,9,216,261,2.63,3.18,17.8,78.1,15.2,81.1,30.9,30,47.2
Calgary Flames,35,77,0.47,21,28,7,202,238,2.46,2.9,15.7,81.7,12.9,86.8,26.8,28.6,46.2
Edmonton Oilers,29,67,0.409,20,25,4,199,267,2.43,3.26,17,82.1,12.2,83.6,26.9,32.9,49
Florida Panthers,29,66,0.402,21,21,8,188,262,2.29,3.2,10,76,7.8,79,29.9,31.1,48.3
Buffalo Sabres,21,52,0.317,11,14,7,150,243,1.83,2.96,14.1,81.4,12.1,83.2,26.3,34.3,46.8
