Vancouver Canucks	51	111	0.677	36	43	8	241	191	2.94	2.33	19.8	86	18.4	88.5	31.5	30.8	52.2
New York Rangers	51	109	0.665	39	47	4	222	182	2.71	2.22	15.7	86.2	14.3	89.2	28.5	27.8	50
St. Louis Blues	49	109	0.665	42	45	4	206	155	2.51	1.89	16.7	85.8	15.6	88.3	30.6	26.7	50.4
Pittsburgh Penguins	51	108	0.659	40	42	9	273	218	3.33	2.66	19.7	87.8	16.3	91.9	33.9	27.4	50.4
Nashville Predators	48	104	0.634	40	43	5	232	205	2.83	2.5	21.6	83.6	20	85.7	27.6	30.8	49
Philadelphia Flyers	47	103	0.628	37	43	4	260	225	3.17	2.74	19.7	81.8	17	83.7	32.2	28.4	48.3
Boston Bruins	49	102	0.622	38	40	9	260	199	3.17	2.43	17.2	83.5	16.8	86.5	32.4	29.8	54.5
New Jersey Devils	48	102	0.622	32	36	12	216	205	2.63	2.5	17.2	89.6	12.4	95.4	27.5	26.8	47.1
Detroit Red Wings	48	102	0.622	36	39	9	239	200	2.91	2.44	16.1	81.8	12.4	82.5	32.2	27	51.6
Chicago Blackhawks	45	101	0.616	34	38	7	241	231	2.94	2.82	15.2	78.1	14.1	81.1	31.5	28.6	50.6
Phoenix Coyotes	42	97	0.591	33	36	6	210	194	2.56	2.37	13.6	85.5	11.2	88	29.6	31.6	50.2
San Jose Sharks	43	96	0.585	31	34	9	219	205	2.67	2.5	21.1	76.9	19.6	78.2	33.8	28.6	53.3
Los Angeles Kings	40	95	0.579	31	34	6	188	170	2.29	2.07	17	87	16.3	90.1	30.6	27.4	51.5
Florida Panthers	38	94	0.573	31	32	6	197	216	2.4	2.63	18.5	79.5	16.4	81.2	29.7	30.5	50.6
Washington Capitals	42	92	0.561	31	38	4	218	226	2.66	2.76	16.7	81.6	12.7	82.7	28	30.2	50
Ottawa Senators	41	92	0.561	30	35	6	243	236	2.96	2.88	18.2	81.6	15.6	84.5	31.4	32	50.1
Calgary Flames	37	90	0.549	32	34	3	199	217	2.43	2.65	17.7	84.3	15.4	85.5	27.5	30.8	46.2
Dallas Stars	42	89	0.543	31	35	7	204	218	2.49	2.66	13.5	82.8	12.3	84.5	28.2	30.8	49.1
Buffalo Sabres	39	89	0.543	27	32	7	211	223	2.57	2.72	17.1	81.7	14.3	83.7	29.2	31.4	49.5
Colorado Avalanche	41	88	0.537	25	32	9	199	218	2.43	2.66	18.4	83	16.6	84.8	31.5	29.6	51.6
Tampa Bay Lightning	38	84	0.512	25	35	3	232	278	2.83	3.39	15.2	79.2	10.8	79.9	27.2	30.5	48.6
Winnipeg Jets	37	84	0.512	27	33	4	221	242	2.7	2.95	17.9	80.1	14.7	81.2	30.1	30.1	49
Carolina Hurricanes	33	82	0.5	29	32	1	212	237	2.59	2.89	16.7	80.6	15.3	85.3	30.5	32.4	50.7
Minnesota Wild	35	81	0.494	22	24	11	166	217	2.02	2.65	15.1	82.1	13.6	83.9	26.5	31.4	51.2
Toronto Maple Leafs	35	80	0.488	26	31	4	227	259	2.77	3.16	18.4	77.3	16.1	79.3	28.3	30.8	51.7
Anaheim Ducks	34	80	0.488	29	31	3	201	224	2.45	2.73	16.6	82	14.8	83.4	27.9	28.9	47.4
New York Islanders	34	79	0.482	24	27	7	196	251	2.39	3.06	18.5	80.5	16.5	82.2	29.4	30.1	48
Montréal Canadiens	31	78	0.476	24	26	5	207	214	2.52	2.61	14.3	88.6	11.6	91.8	28.5	29.7	48.3
Edmonton Oilers	32	74	0.451	25	27	5	207	232	2.52	2.83	20.6	82.4	17.6	84.1	26.7	30.7	47.7
Columbus Blue Jackets	29	65	0.396	23	25	4	198	257	2.41	3.13	15.5	76.6	12.9	79.2	29.9	30.9	50.9
