Team    Wins    Points  P% RW   ROW S/OW    GF  GA  GF/GP   GA/GP   PP% PK% NetPP%  NetPK%  Shots/GP    SA/GP   FOW%
Boston Bruins	65	135	0.823	54	61	4	301	174	3.67	2.12	22.2	87.3	19.4	90.1	33	29.8	54.5
Carolina Hurricanes	52	113	0.689	39	48	4	262	210	3.2	2.56	19.8	84.4	17.4	88.7	34.8	26	52.9
New Jersey Devils	52	112	0.683	39	50	2	289	222	3.52	2.71	21.9	82.6	18.3	86.5	34.4	28.2	51.3
Vegas Golden Knights	51	111	0.677	38	46	5	267	225	3.26	2.74	20.3	77.4	18.4	82.6	31.5	30.9	52.3
Toronto Maple Leafs	50	111	0.677	42	49	1	278	220	3.39	2.68	26	81.9	22.8	85.1	32	29.5	53.1
Colorado Avalanche	51	109	0.665	36	45	6	274	223	3.34	2.72	24.5	79	22.6	81.5	33.3	31	46.7
Edmonton Oilers	50	109	0.665	45	50	0	325	256	3.96	3.12	32.4	77	29.8	83.5	33.6	31.4	50.8
Dallas Stars	47	108	0.659	39	43	4	281	215	3.43	2.62	25	83.5	23.1	87.6	31.9	29.9	54.8
New York Rangers	47	107	0.652	37	43	4	273	216	3.33	2.63	24.1	81.2	22	84.8	31.5	29.3	49.1
Los Angeles Kings	47	104	0.634	37	41	6	274	254	3.34	3.1	25.3	75.8	21.9	78.4	32.4	27.9	53.3
Minnesota Wild	46	103	0.628	34	39	7	239	219	2.91	2.67	21.4	82	20.2	87.5	30.9	31.1	47.7
Seattle Kraken	46	100	0.61	37	46	0	289	252	3.52	3.07	19.8	76.7	16.1	79.2	30.5	27	45.3
Tampa Bay Lightning	46	98	0.598	38	43	3	280	252	3.41	3.07	25.4	79.7	21.4	82.4	32	31.5	51.6
Winnipeg Jets	46	95	0.579	36	45	1	246	224	3	2.73	19.3	82.4	17	85.4	30.3	30.3	48.9
New York Islanders	42	93	0.567	36	41	1	242	217	2.95	2.65	15.8	82.2	12.6	84.9	30.8	31	51.7
Calgary Flames	38	93	0.567	31	36	2	258	247	3.15	3.01	19.8	82.6	17.5	85.6	36	27.3	50.4
Florida Panthers	42	92	0.561	36	40	2	288	272	3.51	3.32	22.8	76	19.6	78	36.8	31.7	48.9
Nashville Predators	42	92	0.561	29	36	6	223	236	2.72	2.88	17.6	82.6	15.2	84.7	29.5	33.3	52.2
Buffalo Sabres	42	91	0.555	30	39	3	293	297	3.57	3.62	23.4	73	20.8	77	32.5	33	45.1
Pittsburgh Penguins	40	91	0.555	31	39	1	261	263	3.18	3.21	21.7	79.1	20	81	34.4	32.8	52.1
Ottawa Senators	39	86	0.524	31	37	2	259	270	3.16	3.29	23.5	80.1	19.9	83.1	33.5	31.4	51.5
Vancouver Canucks	38	83	0.506	24	32	6	270	296	3.29	3.61	22.7	71.6	17.6	77.8	29.7	30.8	49.5
St. Louis Blues	37	81	0.494	27	34	3	260	298	3.17	3.63	19.3	72.4	13.5	75.6	28.5	32.3	48.5
Washington Capitals	35	80	0.488	27	33	2	253	261	3.09	3.18	21.2	81.9	18	83.6	31.1	31.1	49.5
Detroit Red Wings	35	80	0.488	28	32	3	237	275	2.89	3.35	21.1	78.3	16.7	80.3	28.2	30.4	49.1
Philadelphia Flyers	31	75	0.457	26	29	2	220	276	2.68	3.37	15.6	74.7	11.6	79.4	29.5	31.5	45.7
Arizona Coyotes	28	70	0.427	20	25	3	225	295	2.74	3.6	18.9	74.6	16.4	76.2	25.8	35	45.9
Montréal Canadiens	31	68	0.415	21	26	5	227	305	2.77	3.72	16.1	72.7	14.8	75.6	27.3	33.6	48.5
San Jose Sharks	22	60	0.366	16	21	1	233	315	2.84	3.84	18.4	82.4	12.6	84	29.5	32.2	51
Chicago Blackhawks	26	59	0.36	18	24	2	202	299	2.46	3.65	16.4	76.2	12.1	79.2	27	33.6	52.7
Columbus Blue Jackets	25	59	0.36	15	24	1	213	329	2.6	4.01	18.3	75.1	14.3	77.2	29.3	35.4	48.6
Anaheim Ducks	23	58	0.354	13	20	3	206	335	2.51	4.09	15.7	72.1	12.7	72.5	28.4	39.1	46.7
