Washington Capitals	54	121	0.738	43	49	5	313	227	3.82	2.77	25.2	78.8	22.7	80.1	32.8	30.9	51.5
San Jose Sharks	51	113	0.689	43	44	7	257	209	3.13	2.55	21	85	18.1	87.5	31.7	31.4	55.6
Chicago Blackhawks	52	112	0.683	37	43	9	262	203	3.2	2.48	17.7	85.3	16.3	90.2	34.1	25.1	52.4
Phoenix Coyotes	50	107	0.652	31	36	14	211	196	2.57	2.39	14.7	84.5	12.4	85.5	30.5	29.6	50
Vancouver Canucks	49	103	0.628	41	45	4	268	218	3.27	2.66	20.9	81.6	19.1	84.4	30.9	29.5	51.4
New Jersey Devils	48	103	0.628	40	42	6	216	186	2.63	2.27	18.7	82.9	16.9	85.8	30	27	49.4
Detroit Red Wings	44	102	0.622	33	38	6	223	207	2.72	2.52	19.2	83.9	18.9	86.9	33.4	29.4	51.1
Pittsburgh Penguins	47	101	0.616	33	39	8	249	235	3.04	2.87	17.2	84.1	14.7	86.2	32.8	28.7	49.3
Los Angeles Kings	46	101	0.616	32	36	10	231	211	2.82	2.57	20.9	80.3	18.9	81.6	29.1	27.6	50.6
Nashville Predators	47	100	0.61	33	39	8	217	221	2.65	2.7	16.4	77.1	14.3	79.1	30.6	29.2	49.2
Buffalo Sabres	45	100	0.61	35	41	4	231	201	2.82	2.45	17.6	86.6	16.6	88	31.6	31.4	48.6
Colorado Avalanche	43	95	0.579	34	36	7	237	228	2.89	2.78	18.1	80.2	15.2	82.8	27.9	32.1	47.7
Ottawa Senators	44	94	0.573	34	39	5	220	233	2.68	2.84	16.9	84.3	15.5	86.2	29.7	28.5	49.3
Boston Bruins	39	91	0.555	25	29	10	196	191	2.39	2.33	16.6	86.4	15.1	88.6	31.7	29.8	52.6
St. Louis Blues	40	90	0.549	30	33	7	218	218	2.66	2.66	16.9	86.8	15	88.9	29.8	30.2	48.8
Calgary Flames	40	90	0.549	35	37	3	201	203	2.45	2.48	16	82.3	15.3	84.9	28.7	28.9	48
Anaheim Ducks	39	89	0.543	31	34	5	233	243	2.84	2.96	21	79.3	18	81.8	30.1	33.4	48.1
Philadelphia Flyers	41	88	0.537	35	37	4	232	222	2.83	2.71	21.5	83	18.9	84.8	31.6	28.6	50.1
Montréal Canadiens	39	88	0.537	24	32	7	210	218	2.56	2.66	21.8	83	18.8	84.2	28.6	32.1	49.7
Dallas Stars	37	88	0.537	28	30	7	230	244	2.8	2.98	18.6	77.4	16.2	80.6	30.8	31.2	48.1
New York Rangers	38	87	0.53	34	35	3	219	214	2.67	2.61	18.3	84.3	16	85.9	29.6	29.9	49.2
Minnesota Wild	38	84	0.512	28	33	5	214	239	2.61	2.91	19.1	82.7	14.9	84	27.6	29.5	52.2
Atlanta Thrashers	35	83	0.506	29	31	4	230	250	2.8	3.05	16.1	82.2	14.9	85	29.4	33.1	50.9
Carolina Hurricanes	35	80	0.488	26	31	4	226	251	2.76	3.06	16.9	80.6	14.5	82.8	29.3	31.4	48.1
Tampa Bay Lightning	34	80	0.488	25	30	4	213	253	2.6	3.09	19.3	80.1	17.5	80.7	28.9	31.4	51.5
New York Islanders	34	79	0.482	20	26	8	214	258	2.61	3.15	16	76.3	15	78.7	30.4	31.9	48.2
Columbus Blue Jackets	32	79	0.482	27	30	2	214	249	2.61	3.04	18.2	81.7	15.3	83.5	28.5	30.7	51
Florida Panthers	32	77	0.47	24	26	6	202	234	2.46	2.85	14.2	79.4	11.7	81.9	28.4	34.1	49.9
Toronto Maple Leafs	30	74	0.451	21	26	4	210	263	2.56	3.21	14	74.7	11.8	76	32.6	29.8	50.8
Edmonton Oilers	27	62	0.378	18	19	8	206	278	2.51	3.39	17.3	78	15.6	80	28.3	33.1	46.4
