Vancouver Canucks	54	117	0.713	46	50	4	258	180	3.15	2.2	24.3	85.6	23.7	87.5	32	30.1	54.9
Washington Capitals	48	107	0.652	34	43	5	219	191	2.67	2.33	17.5	85.6	15.6	88	31.3	29	51.7
Pittsburgh Penguins	49	106	0.646	34	39	10	228	196	2.78	2.39	15.8	86.1	13.8	90.1	31.5	28.7	49.2
Philadelphia Flyers	47	106	0.646	41	44	3	256	216	3.12	2.63	16.6	82.8	14.9	86.9	31.8	30.1	50.3
San Jose Sharks	48	105	0.64	38	43	5	243	208	2.96	2.54	23.5	79.6	21.1	81.8	34.5	28.9	53.7
Detroit Red Wings	47	104	0.634	34	43	4	257	237	3.13	2.89	22.3	82.3	19.9	84	33.6	30.7	51.9
Boston Bruins	46	103	0.628	43	44	2	244	189	2.98	2.3	16.2	82.6	14.3	86.8	32.9	32.7	51.9
Tampa Bay Lightning	46	103	0.628	32	40	6	241	234	2.94	2.85	20.5	83.8	15.8	84.1	31.8	28.7	50.4
Anaheim Ducks	47	99	0.604	34	43	4	235	233	2.87	2.84	23.5	81.3	21.1	83.6	28.5	32.3	47.7
Nashville Predators	44	99	0.604	36	38	6	213	190	2.6	2.32	15.2	84.9	14.5	86.8	28.8	30.6	50.2
Phoenix Coyotes	43	99	0.604	36	38	5	226	220	2.76	2.68	15.9	78.4	13.8	80.1	30.3	32.6	51.5
Los Angeles Kings	46	98	0.598	35	36	10	209	196	2.55	2.39	16.1	85.5	14	87	28.8	27.9	51.1
Chicago Blackhawks	44	97	0.591	34	38	6	252	220	3.07	2.68	23.1	79.2	21.7	81.6	32.2	28.7	50.8
Montréal Canadiens	44	96	0.585	36	41	3	213	206	2.6	2.51	19.7	84.4	17.6	85.9	31.7	31	49
Buffalo Sabres	43	96	0.585	28	38	5	240	228	2.93	2.78	19.4	83	14.7	83.7	32.8	30.7	47.7
Dallas Stars	42	95	0.579	32	37	5	222	226	2.71	2.76	18	80.1	13.1	83.8	27.7	30.5	50
Calgary Flames	41	94	0.573	30	32	9	241	230	2.94	2.8	19.5	81.2	16.7	83.7	30.5	28.5	48.2
New York Rangers	44	93	0.567	32	35	9	224	195	2.73	2.38	16.9	83.7	15.2	87.9	29.9	29.4	47.7
Carolina Hurricanes	40	91	0.555	29	35	5	231	234	2.82	2.85	15.9	81.3	14.2	83.8	30.7	33.2	44.6
St. Louis Blues	38	87	0.53	31	34	4	236	228	2.88	2.78	18.6	81.7	18.3	84.2	30.2	27.7	47.3
Minnesota Wild	39	86	0.524	31	36	3	203	228	2.48	2.78	18.2	82.8	15.8	85.1	26.2	32	50.8
Toronto Maple Leafs	37	85	0.518	30	32	5	213	245	2.6	2.99	16	77.5	13.5	79.3	28.8	31	50.5
New Jersey Devils	38	81	0.494	28	35	3	171	207	2.09	2.52	14.4	83.4	11	84.7	28.6	26.2	51.2
Columbus Blue Jackets	34	81	0.494	24	29	5	210	250	2.56	3.05	14	80.3	10.3	82.2	30.6	29.8	51.2
Atlanta Thrashers	34	80	0.488	19	29	5	218	262	2.66	3.2	18.3	77.5	14.9	79.7	31.5	32.2	48.7
Ottawa Senators	32	74	0.451	28	30	2	190	245	2.32	2.99	17.5	83.7	16	85.7	29	31.2	50.8
New York Islanders	30	73	0.445	19	26	4	225	258	2.74	3.15	17.2	83.2	14.9	88.1	29.4	32	50.1
Florida Panthers	30	72	0.439	20	26	4	191	222	2.33	2.71	13.1	84.6	11.2	86.1	30.4	31.8	51.9
Colorado Avalanche	30	68	0.415	18	24	6	221	287	2.7	3.5	18.5	76.1	14.3	78.7	29.2	31.8	50.6
Edmonton Oilers	25	62	0.378	21	23	2	191	260	2.33	3.17	14.5	77	13.8	79.4	26.7	31.7	44.2
