Team    Wins    Points  P% RW   ROW S/OW    GF  GA  GF/GP   GA/GP   PP% PK% NetPP%  NetPK%  Shots/GP    SA/GP   FOW%
Nashville Predators	53	117	0.713	42	47	6	261	204	3.18	2.49	21.3	81.9	19.4	85.3	32.2	32.4	53.3
Winnipeg Jets	52	114	0.695	43	48	4	273	216	3.33	2.63	23.4	81.8	20.8	85	32.2	31.9	52.4
Tampa Bay Lightning	54	113	0.689	42	48	6	290	234	3.54	2.85	23.9	76.1	22.8	79.5	32.7	32.7	48.2
Boston Bruins	50	112	0.683	41	47	3	267	211	3.26	2.57	23.6	83.7	19.7	87.4	33	29.3	50.8
Vegas Golden Knights	51	109	0.665	39	47	4	268	225	3.27	2.74	21	81.4	19	84.8	32.8	30.7	48.9
Toronto Maple Leafs	49	105	0.64	37	42	7	270	230	3.29	2.8	25	81.4	22.8	83.1	32.2	33.9	51.8
Washington Capitals	49	105	0.64	38	46	3	256	238	3.12	2.9	22.5	80.3	19.3	81.8	29	31.9	50.4
Minnesota Wild	45	101	0.616	38	42	3	250	229	3.05	2.79	20.4	81.3	17.9	83.8	30.2	31.3	49.8
Anaheim Ducks	44	101	0.616	35	40	4	231	209	2.82	2.55	17.8	83.2	15.9	86.9	30.2	33.1	51.3
Pittsburgh Penguins	47	100	0.61	33	45	2	270	248	3.29	3.02	26.2	80	25	82.3	34.4	31.1	50.3
San Jose Sharks	45	100	0.61	35	40	5	247	226	3.01	2.76	20.6	84.8	19.5	88.4	33	30.3	51.3
Los Angeles Kings	45	98	0.598	34	43	2	237	202	2.89	2.46	20.4	85	18.8	86.9	31	30.9	49.7
Philadelphia Flyers	42	98	0.598	31	40	2	249	236	3.04	2.88	20.7	75.8	16.9	77.1	32.1	29.9	53.3
Columbus Blue Jackets	45	97	0.591	30	39	6	236	226	2.88	2.76	17.2	76.2	14.1	78	33.7	31.3	48.4
New Jersey Devils	44	97	0.591	33	39	5	243	240	2.96	2.93	21.4	81.8	19.1	86.4	31.7	31.9	47
Florida Panthers	44	96	0.585	38	41	3	245	243	2.99	2.96	18.9	80.2	16.9	84.6	34.4	34.6	50.7
Colorado Avalanche	43	95	0.579	35	41	2	255	236	3.11	2.88	22	83.3	17.6	85.9	29.7	33.3	44.2
St. Louis Blues	44	94	0.573	33	41	3	223	222	2.72	2.71	15.5	79.7	11.8	81.8	32.6	29.7	50.6
Dallas Stars	42	92	0.561	33	38	4	231	222	2.82	2.71	19.3	80.8	15.2	83.3	31.2	29.8	52.5
Calgary Flames	37	84	0.512	28	35	2	216	243	2.63	2.96	16	81.8	13.4	84.4	33.6	31.1	49.4
Carolina Hurricanes	36	83	0.506	30	33	3	225	253	2.74	3.09	18.4	77.5	15.9	79.1	33.9	28.9	54.1
New York Islanders	35	80	0.488	25	32	3	261	293	3.18	3.57	23.2	73.2	18.8	75.3	31.4	35.6	48.9
Edmonton Oilers	36	78	0.476	24	31	5	229	262	2.79	3.2	14.8	76.7	12.4	81.2	33.4	32.1	48.7
New York Rangers	34	77	0.47	24	31	3	228	263	2.78	3.21	21.2	81.4	19.1	83.4	31	35.3	49.3
Chicago Blackhawks	33	76	0.463	26	32	1	228	254	2.78	3.1	16	79.2	13.4	81.3	34.1	32.9	49.3
Vancouver Canucks	31	73	0.445	25	31	0	218	259	2.66	3.16	21.5	78.3	17.4	80.8	30	32.2	49.5
Detroit Red Wings	30	73	0.445	22	25	5	212	254	2.59	3.1	17.5	77.5	15.4	81	30.4	31.9	48.9
Montréal Canadiens	29	71	0.433	24	27	2	207	258	2.52	3.15	21.2	74.1	18.8	76.8	32.8	32.3	47.6
Arizona Coyotes	29	70	0.427	20	27	2	206	251	2.51	3.06	16.9	80	12.8	80.9	29.9	32.2	47.7
Ottawa Senators	28	67	0.409	18	26	2	219	284	2.67	3.46	16.6	76.2	14.2	77.9	30.7	33.1	50.3
Buffalo Sabres	25	62	0.378	19	24	1	198	278	2.41	3.39	19.1	77.9	15.2	81.7	31.2	32.7	51.5
