Team    Wins    Points  P% RW   ROW S/OW    GF  GA  GF/GP   GA/GP   PP% PK% NetPP%  NetPK%  Shots/GP    SA/GP   FOW%
New York Rangers	55	114	0.695	43	51	4	278	226	3.39	2.76	26.4	84.5	24	87.9	31.5	29.5	52.3
Dallas Stars	52	113	0.689	40	48	4	294	232	3.59	2.83	24.2	82	22.5	87	31.6	28.7	54
Carolina Hurricanes	52	111	0.677	44	50	2	277	211	3.38	2.57	26.9	86.4	23.7	90.7	33.3	25.6	52.6
Florida Panthers	52	110	0.671	42	49	3	265	198	3.23	2.41	23.5	82.5	20.2	85.2	33.7	27.8	51.3
Winnipeg Jets	52	110	0.671	46	52	0	259	198	3.16	2.41	18.8	77.1	16.7	78.5	30.3	29.6	47.6
Vancouver Canucks	50	109	0.665	44	50	0	279	221	3.4	2.7	22.7	79.1	19.9	81.9	28.4	28.6	52.1
Boston Bruins	47	109	0.665	36	43	4	263	221	3.21	2.7	22.2	82.5	19.8	85.1	29.3	30.5	49.5
Colorado Avalanche	50	107	0.652	42	48	2	302	252	3.68	3.07	24.5	79.9	22.3	82.6	33	29.8	47.9
Edmonton Oilers	49	104	0.634	39	47	2	292	236	3.56	2.88	26.3	79.5	24.3	82.2	33.8	28.1	53.2
Toronto Maple Leafs	46	102	0.622	33	41	5	298	261	3.63	3.18	24	76.9	20.2	79.4	32.6	29.8	53.5
Nashville Predators	47	99	0.604	38	44	3	266	248	3.24	3.02	21.6	76.9	19.7	79.8	32.2	30.6	50.4
Los Angeles Kings	44	99	0.604	37	42	2	254	210	3.1	2.56	22.6	84.6	19.8	88.9	31.9	28	50.6
Tampa Bay Lightning	45	98	0.598	37	42	3	288	267	3.51	3.26	28.6	83.3	26.2	85.5	29.3	29.6	51.8
Vegas Golden Knights	45	98	0.598	34	41	4	263	243	3.21	2.96	20.2	79.3	17.1	83.6	31.1	30.3	50.2
New York Islanders	39	94	0.573	29	38	1	245	258	2.99	3.15	20.4	71.5	19.1	76	30.1	32.8	51.3
St. Louis Blues	43	92	0.561	31	38	5	234	248	2.85	3.02	18	79.1	15.2	84.2	28.9	32.1	49.9
Detroit Red Wings	41	91	0.555	27	38	3	275	273	3.35	3.33	23.1	79.6	19.4	82.5	29	32.4	50.6
Washington Capitals	40	91	0.555	32	36	4	216	252	2.63	3.07	20.6	79	18.4	80.3	26.5	30.5	46.7
Pittsburgh Penguins	38	88	0.537	32	36	2	253	248	3.09	3.02	15.3	80.7	10.7	82.7	32.7	30.2	54.6
Minnesota Wild	39	87	0.53	32	36	3	248	260	3.02	3.17	22.7	74.5	18.7	75.7	30.1	29.7	47.3
Philadelphia Flyers	38	87	0.53	30	34	4	231	258	2.82	3.15	12.2	83.4	10.6	90	33	27.1	49.7
Buffalo Sabres	39	84	0.512	33	37	2	244	243	2.98	2.96	16.6	79.8	12.1	82.7	30.9	29.3	45
New Jersey Devils	38	81	0.494	33	38	0	264	281	3.22	3.43	22.5	80.7	18.8	81.9	30.7	30	53.5
Calgary Flames	38	81	0.494	32	38	0	253	267	3.09	3.26	17.9	80.8	13.5	85.3	31.4	29.7	49.6
Seattle Kraken	34	81	0.494	28	31	3	214	232	2.61	2.83	20.7	78.8	16.9	81.5	28.6	29.2	47.5
Ottawa Senators	37	78	0.476	25	32	5	250	281	3.05	3.43	18	75.1	15.9	78	31.7	29.7	51
Arizona Coyotes	36	77	0.47	28	34	2	254	274	3.1	3.34	22	76.3	19.1	79	27.7	31.7	45.1
Montréal Canadiens	30	76	0.463	20	26	4	232	281	2.83	3.43	17.5	76.5	12.7	79	27.7	33.4	51.5
Columbus Blue Jackets	27	66	0.402	21	24	3	234	298	2.85	3.63	15.1	76.3	12.3	78.4	30	34.4	47.2
Anaheim Ducks	27	59	0.36	21	26	1	203	293	2.48	3.57	17.9	72.4	15.7	76.1	26.8	32.5	46.7
Chicago Blackhawks	23	52	0.317	17	22	1	178	289	2.17	3.52	16.6	75.8	13.2	77.1	26.3	32.7	46.3
San Jose Sharks	19	47	0.287	14	18	1	180	326	2.2	3.98	20.2	75.4	16.4	76.6	25.2	35.1	49
