San Jose Sharks	53	117	0.713	43	47	6	251	199	3.06	2.43	24.2	83.3	21.1	87.3	33.2	27.2	53.8
Boston Bruins	53	116	0.707	46	49	4	270	190	3.29	2.32	23.6	82.4	21.4	85	30.3	30.8	51
Detroit Red Wings	51	112	0.683	42	45	6	289	240	3.52	2.93	25.5	78.3	24.4	80.1	36.2	27.7	55.1
Washington Capitals	50	108	0.659	40	46	4	268	240	3.27	2.93	25.2	80.6	22	82.4	33.5	29.5	51.7
New Jersey Devils	51	106	0.646	36	45	6	238	207	2.9	2.52	18.9	79.9	17.6	83.6	32.9	29.5	51.3
Chicago Blackhawks	46	104	0.634	36	42	4	260	209	3.17	2.55	19.3	80.6	17.6	83.6	32.7	28.6	48.1
Vancouver Canucks	45	100	0.61	37	42	3	243	213	2.96	2.6	18.8	81.4	17.4	83.3	28.5	29.2	51.9
Pittsburgh Penguins	45	99	0.604	33	39	6	258	233	3.15	2.84	17.2	82.7	13.6	84.7	29	30.3	49.1
Philadelphia Flyers	44	99	0.604	34	40	4	260	232	3.17	2.83	22.5	83	22.2	87	29.8	32.5	48.3
Calgary Flames	46	98	0.598	40	43	3	251	246	3.06	3	17	83.4	12.9	85.1	32.2	29.8	51.3
Carolina Hurricanes	45	97	0.591	35	42	3	236	221	2.88	2.7	18.7	80.4	16.3	83.1	32.6	29.5	51.3
New York Rangers	43	95	0.579	30	33	10	200	212	2.44	2.59	13.9	87.8	9.8	90.6	32.4	29.7	50.9
Montréal Canadiens	41	93	0.567	30	34	7	242	240	2.95	2.93	19.3	82.4	16.3	85.1	30	31.7	50.9
Florida Panthers	41	93	0.567	34	38	3	231	223	2.82	2.72	16.6	82.6	13.6	84.9	29.4	34.7	47.9
St. Louis Blues	41	92	0.561	31	35	6	227	227	2.77	2.77	20.5	83.8	18.2	86.6	27.7	28.5	49.1
Columbus Blue Jackets	41	92	0.561	30	35	6	220	223	2.68	2.72	12.7	82.1	9	84.4	28.9	27.8	51.2
Anaheim Ducks	42	91	0.555	30	35	7	238	235	2.9	2.87	23.6	79.7	21	81.3	30.3	30.5	49.8
Buffalo Sabres	41	91	0.555	31	33	8	242	229	2.95	2.79	21	81.9	19.6	83.9	30.5	31.4	47.4
Minnesota Wild	40	89	0.543	32	35	5	214	197	2.61	2.4	20.1	87.6	18.3	90.7	27.5	30.7	48.5
Nashville Predators	40	88	0.537	28	34	6	207	228	2.52	2.78	15.7	82.5	13.2	85.2	29	29.4	52.2
Edmonton Oilers	38	85	0.518	31	32	6	228	244	2.78	2.98	17	77.5	14.7	78.4	28.1	32.5	47.9
Ottawa Senators	36	83	0.506	29	32	4	213	231	2.6	2.82	19.5	81.5	18	83.8	29.3	28.5	51.8
Dallas Stars	36	83	0.506	25	30	6	224	251	2.73	3.06	15.4	78.6	14.3	79.2	28.9	28.1	47.8
Toronto Maple Leafs	34	81	0.494	24	28	6	244	286	2.98	3.49	18.8	74.7	16.7	76.6	31.7	30.3	50.1
Phoenix Coyotes	36	79	0.482	32	33	3	205	249	2.5	3.04	14.5	76.8	13.4	78.5	28.1	31.6	44.8
Los Angeles Kings	34	79	0.482	26	29	5	202	226	2.46	2.76	19.2	82.9	16.9	84	29.1	28.1	52
Atlanta Thrashers	35	76	0.463	24	28	7	250	279	3.05	3.4	19.3	76	16.5	79.5	28.1	32.7	51.2
Colorado Avalanche	32	69	0.421	20	23	9	190	253	2.32	3.09	15.7	79.9	13.2	81.1	28.8	29	47.8
Tampa Bay Lightning	24	66	0.402	19	21	3	207	269	2.52	3.28	17.8	78	15.2	79	28.5	32.9	50.2
New York Islanders	26	61	0.372	20	23	3	198	274	2.41	3.34	16.9	79.8	15.3	83.1	28.9	33.5	45.7
