Team    Wins    Points  P% RW   ROW S/OW    GF  GA  GF/GP   GA/GP   PP% PK% NetPP%  NetPK%  Shots/GP    SA/GP   FOW%
Boston Bruins	44	100	0.714	38	44	0	227	167	3.24	2.39	25.2	84.3	22.1	86.6	32.1	30	51
St. Louis Blues	42	94	0.662	33	40	2	223	190	3.14	2.68	24.3	79.3	21.3	81.8	30.7	29.6	51.6
Tampa Bay Lightning	43	92	0.657	35	41	2	243	194	3.47	2.77	23.1	81.4	19.8	84	31.1	30.9	50.5
Colorado Avalanche	42	92	0.657	37	41	1	236	190	3.37	2.71	19.1	81.4	16.6	85.2	32.2	31.3	49.6
Washington Capitals	41	90	0.652	31	37	4	236	212	3.42	3.07	19.4	82.6	15.3	85.1	32	30.2	48.3
Philadelphia Flyers	41	89	0.645	31	36	5	227	191	3.29	2.77	20.8	81.8	18.1	85.7	31.4	28.7	54.6
Pittsburgh Penguins	40	86	0.623	29	37	3	221	196	3.2	2.84	19.9	82.1	17.5	85.3	31.9	29.7	48.9
Vegas Golden Knights	39	86	0.606	30	36	3	224	209	3.15	2.94	22	76.6	20.4	80.8	34.5	29.3	50
Edmonton Oilers	37	83	0.585	31	35	2	223	215	3.14	3.03	29.5	84.4	24.5	85.9	29.6	32	49
Dallas Stars	37	82	0.594	26	35	2	178	174	2.58	2.52	21.1	79.7	19.1	82	30.6	31.6	51.8
Carolina Hurricanes	38	81	0.596	27	33	5	217	193	3.19	2.84	22.3	84	20.4	88.1	33.3	29.3	50.5
Toronto Maple Leafs	36	81	0.579	28	35	1	237	222	3.39	3.17	23.1	77.7	19.5	80.3	32.9	31.9	52.5
Columbus Blue Jackets	33	81	0.579	25	33	0	180	183	2.57	2.61	16.4	81.7	13.8	83.4	32.5	29.9	48.5
Winnipeg Jets	37	80	0.563	30	34	3	213	201	3	2.83	20.5	77.6	19	81	31.3	32.6	50.1
New York Islanders	35	80	0.588	24	32	3	189	190	2.78	2.79	17.3	80.7	14.3	84.1	29.6	31.2	49.9
New York Rangers	37	79	0.564	31	36	1	233	220	3.33	3.14	22.9	77.4	20.3	80.9	31.1	34	46.6
Calgary Flames	36	79	0.564	25	30	6	204	214	2.91	3.06	21.2	82.1	16.6	85.2	31.6	32.4	49.1
Vancouver Canucks	36	78	0.565	27	32	4	224	214	3.25	3.1	24.2	80.5	22.5	82.8	31.2	33.3	54
Florida Panthers	35	78	0.565	30	32	3	228	224	3.3	3.25	21.3	78.5	19	80.7	32.7	32.3	50.3
Nashville Predators	35	78	0.565	28	32	3	212	214	3.07	3.1	17.3	76.1	13.7	78.9	33.1	31.3	52.3
Minnesota Wild	35	77	0.558	30	33	2	218	217	3.16	3.14	21.3	77.2	18.5	78.6	30.1	30.7	48.4
Arizona Coyotes	33	74	0.529	26	28	5	190	183	2.71	2.61	19.2	82.7	16.8	85.3	31.7	32.4	49.1
Chicago Blackhawks	32	72	0.514	23	28	4	208	214	2.97	3.06	15.2	82.1	11.5	85	31.8	35.1	49.9
Montréal Canadiens	31	71	0.5	19	27	4	208	220	2.93	3.1	17.7	78.7	15.1	81.5	34.1	31.1	50.4
Buffalo Sabres	30	68	0.493	22	28	2	193	215	2.8	3.12	18.9	74.6	13.3	77.3	29.3	31.1	45.9
New Jersey Devils	28	68	0.493	22	24	4	185	224	2.68	3.25	18	82.4	13.7	86.4	30.7	32.7	46.8
Anaheim Ducks	29	67	0.472	20	24	5	182	225	2.56	3.17	14.7	77	12	81.7	29.7	32.1	50.5
Los Angeles Kings	29	64	0.457	21	28	1	177	209	2.53	2.99	17.1	77.4	16.6	80	33.2	29.7	50.8
San Jose Sharks	29	63	0.45	22	27	2	180	225	2.57	3.21	17.5	85.7	14.3	88.8	30	30.6	48.9
Ottawa Senators	25	62	0.437	18	24	1	190	238	2.68	3.35	14.2	76.1	11.4	82.6	30.6	33.6	50.3
Detroit Red Wings	17	39	0.275	13	14	3	142	265	2	3.73	14.9	74.3	8.8	76.1	27.1	32.8	49.5
