Buffalo Sabres	53	113	0.689	38	43	10	298	238	3.63	2.9	17.4	81.4	14.3	83.4	29.5	31	51.4
Detroit Red Wings	50	113	0.689	45	48	2	252	191	3.07	2.33	17.1	84.6	14.3	87.5	33.8	24.6	53.6
Nashville Predators	51	110	0.671	42	45	6	266	207	3.24	2.52	17.4	85.8	16.9	87.9	27.6	31.2	50.3
Anaheim Ducks	48	110	0.671	39	44	4	254	198	3.1	2.41	22.4	85.1	21.4	86.1	31.5	27.4	51.9
San Jose Sharks	51	107	0.652	48	49	2	256	197	3.12	2.4	22.4	83.3	21.5	85.5	28.6	26.2	51.1
Dallas Stars	50	107	0.652	35	41	9	217	193	2.65	2.35	18.5	84.4	17.1	85.2	28	25.4	50.1
New Jersey Devils	49	107	0.652	36	39	10	206	193	2.51	2.35	17.7	85.2	14.7	86.7	28.7	28.4	49
Vancouver Canucks	49	105	0.64	32	44	5	217	197	2.65	2.4	17.2	86.9	15.2	88.1	29.3	29.2	49.2
Ottawa Senators	48	105	0.64	44	46	2	286	216	3.49	2.63	17.9	84.5	14.9	88.8	32.3	30.2	50.3
Pittsburgh Penguins	47	105	0.64	31	37	10	267	240	3.26	2.93	20.3	82.1	17.5	85.4	28.9	30.9	47
Minnesota Wild	48	104	0.634	31	38	10	225	184	2.74	2.24	19	86	16.8	88.6	29.6	28.8	47.6
Atlanta Thrashers	43	97	0.591	29	36	7	239	241	2.91	2.94	16.5	79.8	14	82.1	29.7	31.5	52.9
Calgary Flames	43	96	0.585	38	40	3	255	221	3.11	2.7	18.2	80.4	17	84.1	27.3	30.5	48.4
Colorado Avalanche	44	95	0.579	36	39	5	267	247	3.26	3.01	21.1	80.2	18.7	82.2	31.7	29	48.6
New York Rangers	42	94	0.573	30	33	9	233	211	2.84	2.57	18.5	83.8	17	86.5	31.5	28.4	49.9
Tampa Bay Lightning	44	93	0.567	29	34	10	243	259	2.96	3.16	18.5	78.4	15.5	83	29.5	27.2	48.9
New York Islanders	40	92	0.561	30	32	8	240	235	2.93	2.87	18.1	81.8	15.5	83.4	30	32.6	51.6
Toronto Maple Leafs	40	91	0.555	32	36	4	254	262	3.1	3.2	17.7	78.5	15	79.2	32.7	28.4	51.9
Montréal Canadiens	42	90	0.549	34	36	6	239	251	2.91	3.06	22.8	83.5	21.2	87.6	29.6	32.7	49.5
Carolina Hurricanes	40	88	0.537	34	40	0	241	248	2.94	3.02	15	84.6	13.2	87.6	31.2	28.5	52.3
Florida Panthers	35	86	0.524	30	33	2	245	249	2.99	3.04	18.1	82.4	16.3	83.5	33.3	29.3	47.9
St. Louis Blues	34	81	0.494	24	28	6	208	248	2.54	3.02	12.1	80	9.5	81.6	26.9	28.9	51.1
Boston Bruins	35	76	0.463	22	26	9	210	285	2.56	3.48	17.2	81.7	12.9	83.5	28.9	33.5	48.3
Columbus Blue Jackets	33	73	0.445	24	28	5	196	244	2.39	2.98	14.8	81.2	12.6	82.6	27.7	28.6	50.2
Edmonton Oilers	32	71	0.433	28	29	3	192	245	2.34	2.99	14.2	84.6	13.1	86.1	26.7	29.7	51.5
Chicago Blackhawks	31	71	0.433	22	25	6	195	251	2.38	3.06	11.8	82.6	10.2	85.3	26.8	29.4	47.8
Washington Capitals	28	70	0.427	23	27	1	234	275	2.85	3.35	16.4	80.2	13	83.1	28	33.3	49.8
Los Angeles Kings	27	68	0.415	21	23	4	223	277	2.72	3.38	18.3	77.9	17	79.3	31	29.8	47.7
Phoenix Coyotes	31	67	0.409	24	26	5	211	282	2.57	3.44	16.5	78.4	13.3	79.5	28.3	30.1	52.7
Philadelphia Flyers	22	56	0.341	18	21	1	213	297	2.6	3.62	14.1	84.5	10.4	88.1	28.8	32.6	47.1
