New York Rangers	53	113	0.689	43	49	4	248	187	3.02	2.28	16.8	84.3	14.2	88.1	31.5	29.5	46.7
Montréal Canadiens	50	110	0.671	37	43	7	214	184	2.61	2.24	16.5	83.7	14.8	86.4	28.5	30.1	52.1
St. Louis Blues	51	109	0.665	37	42	9	239	197	2.91	2.4	22.3	83.7	20.3	84.4	30.9	27.2	53.4
Anaheim Ducks	51	109	0.665	35	43	8	228	221	2.78	2.7	15.7	81	13.2	84.3	30	28.9	51.7
Tampa Bay Lightning	50	108	0.659	43	47	3	259	206	3.16	2.51	18.8	83.7	16.7	86.4	29.6	27.9	49.7
Nashville Predators	47	104	0.634	33	41	6	226	202	2.76	2.46	16.2	80.8	14.3	82.5	31.9	28.3	48.9
Chicago Blackhawks	48	102	0.622	36	39	9	220	186	2.68	2.27	17.6	83.4	14.9	84.8	33.9	30.2	52.1
Vancouver Canucks	48	101	0.616	36	42	6	236	220	2.88	2.68	19.3	85.7	18.5	88	29.9	29.8	46.7
New York Islanders	47	101	0.616	34	40	7	245	224	2.99	2.73	18.7	78	17.6	82.6	33.8	28.3	49.2
Washington Capitals	45	101	0.616	35	40	5	237	199	2.89	2.43	25.3	81.2	23.6	82.7	29.5	28.9	51.3
Minnesota Wild	46	100	0.61	38	42	4	227	198	2.77	2.41	15.9	86.3	14.6	88	30.8	27.6	49.9
Detroit Red Wings	43	100	0.61	32	39	4	231	211	2.82	2.57	23.8	80.9	21.1	81.9	29.6	28.3	51.5
Ottawa Senators	43	99	0.604	30	37	6	232	208	2.83	2.54	16.8	82.9	13.9	85.2	31	32.1	48.2
Winnipeg Jets	43	99	0.604	32	36	7	223	204	2.72	2.49	17.8	81.8	16	85.1	29.7	28.7	48.9
Pittsburgh Penguins	43	98	0.598	33	39	4	217	204	2.65	2.49	19.3	84.8	15	87	31.6	29.3	49.1
Calgary Flames	45	97	0.591	32	41	4	237	213	2.89	2.6	18.8	80.7	17.7	83.9	27.5	29.2	47.5
Boston Bruins	41	96	0.585	28	37	4	209	201	2.55	2.45	17.8	82	16.4	85.3	31	29.9	53.6
Los Angeles Kings	40	95	0.579	37	38	2	218	197	2.66	2.4	19	80.9	18.2	83.9	30.9	27	51.3
Dallas Stars	41	92	0.561	33	37	4	257	257	3.13	3.13	19	80.7	16.6	84.3	31.2	29.9	51.8
Florida Panthers	38	91	0.555	29	30	8	198	213	2.41	2.6	16.3	80	13.8	80.4	30.7	29.6	48.6
Colorado Avalanche	39	90	0.549	27	29	10	209	223	2.55	2.72	15	84.7	14.2	86.3	27.9	33.2	50.8
Columbus Blue Jackets	42	89	0.543	28	33	9	227	248	2.77	3.02	21.7	80.2	19.7	81.9	28.9	33.4	49.3
San Jose Sharks	40	89	0.543	34	36	4	224	226	2.73	2.76	21.7	78.5	19.7	80.3	31.6	29.7	51.9
Philadelphia Flyers	33	84	0.512	25	30	3	212	223	2.59	2.72	23.4	77.1	21.1	78.2	29.4	30.3	51.1
New Jersey Devils	32	78	0.476	26	27	5	176	209	2.15	2.55	19.3	80.6	15.6	83.2	24.5	30.7	47.3
Carolina Hurricanes	30	71	0.433	24	25	5	183	219	2.23	2.67	18.8	84.7	17.1	85.8	30.8	27.3	53
Toronto Maple Leafs	30	68	0.415	22	25	5	206	257	2.51	3.13	15.9	80.5	11.7	83.1	29.2	33.5	49
Edmonton Oilers	24	62	0.378	17	19	5	193	276	2.35	3.37	17.7	76.7	14.7	78.5	28.4	30	48.2
Arizona Coyotes	24	56	0.341	14	19	5	165	267	2.01	3.26	20	76.7	17	78.1	29.2	33.2	51.9
Buffalo Sabres	23	54	0.329	14	15	8	153	269	1.87	3.28	13.4	75.1	9.8	77.8	24.2	35.6	44.9
